"user_id","device_id","main_brush_days_left","side_brush_days_left","filter_percent_left","mop_pad_percent_left","dust_bag_percent_left","dust_bin_clean_frequency","last_maintenance_at","maintenance_advice"
"1001","RB-1001","60","45","40","0","0","每5天","2026-06-15","滤网剩余较低，建议两周内清洁或更换"
"1002","RB-1002","75","28","65","52","0","每3天","2026-06-18","边刷中度磨损，拖布建议每周清洗"
"1003","RB-1003","25","32","58","0","0","每日","2026-06-20","宠物毛发较多，建议重点检查主刷缠绕"
"1004","RB-1004","12","18","15","34","0","每日","2026-06-12","滤网急需更换，主刷和边刷也接近更换周期"
"1005","RB-1005","88","64","72","80","0","每7天","2026-06-22","耗材状态良好，建议保持定期清洗水箱"
"1006","RB-1006","48","20","55","0","35","每2天","2026-06-16","多层清洁损耗较快，建议准备边刷和集尘袋"
"1007","RB-1007","80","70","78","0","0","每5天","2026-06-21","耗材状态良好，继续保持高频轻量清扫"
"1008","RB-1008","36","24","42","38","0","每3天","2026-06-19","地毯与宠物场景建议清洁主刷并更换拖布"
"1009","RB-1009","67","54","61","44","0","每4天","2026-06-17","拖地使用频繁，建议检查拖布含水均匀性"
"1010","RB-1010","30","26","49","0","0","每日","2026-06-14","儿童家庭灰尘较多，建议增加尘盒清理频率"
